2006;Octubre;17,3;23,7;12,4;76,6;99,32;9,4;13;22,8;12:58:47
2006;Noviembre;18,2;24,8;12,4;68,8;52,08;9,8;12,7;22,3;13:57:06
2006;Diciembre;23;29,2;17,4;79;128,28;9,7;11,4;21,5;14:29:29
2006;Enero;24,8;29,1;17,7;63,7;31,25;9,9;14,3;20,5;14:13:04
2006;Febrero;25,7;30,8;17,7;62;87,88;9,8;13,1;20,3;13:22:53
2006;Marzo;20,9;25,4;13,5;77;219,71;9,9;13;21,8;12:17:57
2006;Abril;18,3;22,3;12,2;77,6;156,46;9,4;10,8;17,4;11:13:08
2006;Mayo;12,1;16,7;5,3;74,2;71,88;9,4;10,2;16,9;10:16:54
2006;Junio;9,9;14,9;3,1;74,7;38,86;7,9;9,9;17;09:49:06
2006;Julio;8,4;13,4;1,8;67,2;19,56;8,8;9,8;17,7;10:02:05
2006;Agosto;9,5;14,3;3,4;74,2;53,85;9,2;13,2;20,5;10:49:40
2006;Septiembre;15,8;20,1;10;77,2;93,97;8,6;14,6;21,4;11:51:01
2007;Octubre;18,7;22,7;12,3;71,8;242,32;9,1;13,9;22,2;12:58:14
2007;Noviembre;19,1;24,3;10,8;59,1;63;9,9;14,6;23,5;13:56:40
2007;Diciembre;23,8;28,7;14,8;54,2;27,93;10;16,7;25,5;14:29:23
2007;Enero;25,4;30,6;17,8;54,8;48;10,1;16,8;16,8;14:13:24
2007;Febrero;25,2;30,2;18,3;63,1;110,74;9,7;16;23;13:21:21
2007;Marzo;21,7;25,4;15,4;72,2;49,01;9,5;12,2;19,1;12:16:18
2007;Abril;18,2;23,4;10,5;66,3;44,7;8,1;9,2;16,6;11:11:36
2007;Mayo;14,5;19,5;7,3;70,8;26,41;9,1;10,2;17,9;10:15:49
2007;Junio;10,6;15,1;3,7;73,9;64,01;8;10,9;18,7;09:48:54
2007;Julio;12,9;17,4;7,2;80;39,88;8,5;11,6;17,9;10:02:53
2007;Agosto;12,2;16,7;4,4;68,5;28,7;9,2;13,5;22,3;10:51:04
2007;Septiembre;13,3;16,8;6,9;73,8;22,1;9,4;15;22,5;11:52:37
2008;Octubre;17,8;22,7;9,6;61,9;70,6;9,8;15,5;22,3;12:59:49
2008;Noviembre;24;29,2;16,7;54,8;11,18;10;17,5;25,7;13:57:54
2008;Diciembre;24,3;29,6;16,1;56,3;14,23;9,9;19;27,4;14:29:37
2008;Enero;26;30,6;17,8;52,4;14,73;9,9;19,9;28,2;14:12:27
2008;Febrero;24,8;29,4;17,3;58,9;105,92;9,7;15,6;23,9;13:21:53
2008;Marzo;23;27,1;16,5;70,3;112,26;9,6;12,6;19,7;12:16:53
2008;Abril;18,8;24,3;10,4;66;26,41;9,7;11,5;19,4;11:12:08
2008;Mayo;15,1;20,3;8,5;72,3;40,12;9,3;11;20,5;10:16:12
2008;Junio;10,6;15,7;4,1;72,5;21,08;9;12,4;19,9;09:48:58
2008;Julio;9,5;14,2;3,1;68,1;114,3;9,2;13,8;21,9;10:02:36
2008;Agosto;14,3;19,4;7,3;67;7,62;9,4;14,2;22,3;10:50:34
2008;Septiembre;13;17;7,3;74,1;120,14;9,6;17,7;25,6;11:52:03
2009;Octubre;17,4;22,3;10,3;65;145,54;9,8;14;21,9;12:59:16
2009;Noviembre;21,1;24,6;14,8;69,6;156,72;9,6;15;24,6;13:57:28
2009;Diciembre;22,7;26;17,2;71,3;91,19;9,7;15;22,1;14:29:33
2009;Enero;26,1;29,7;19,1;65,3;91,7;9,8;11,4;19,4;14:12:46
2009;Febrero;23,7;27,4;18,7;73,2;202,95;9,7;15,2;23,2;13:22:25
2009;Marzo;20,9;26,2;15,7;77,8;73,16;9,4;10,3;18;12:17:28
2009;Abril;16;21,6;10,4;75,8;62,74;9,4;8,4;15,5;11:12:40
2009;Mayo;13,6;19,4;9,4;83,5;118,1;8,3;9,7;19;10:16:35
2009;Junio;10,9;16,6;6;78,6;51,31;9,2;11,4;21,4;09:49:02
2009;Julio;9,7;14,8;4,9;80,7;88,14;8,6;12,5;22,7;10:02:19
2009;Agosto;9,6;15,8;4,2;79;2,54;8,7;10,8;23,2;10:50:05
2009;Septiembre;13,1;18,8;8,5;80,2;103,12;9,1;16,4;27,9;11:51:30
2010;Octubre;14,6;20,7;9,3;76,6;30,98;9,7;11,5;20,3;12:58:42
2010;Noviembre;17,9;24,8;11,8;71,8;37,08;9,9;10,6;20,4;13:57:03
2010;Diciembre;22,8;30,5;16,3;59,4;54,11;9,8;13,1;23,4;14:29:28
2010;Enero;25,2;29,9;18,5;63,8;159,26;9,8;15;22,5;14:11:32
2010;Febrero;23,9;28,6;16,2;63,1;37,07;9,9;16,2;23,6;13:21:38
2010;Marzo;22,4;27,4;14,3;61,9;30,98;9,9;13,5;21,1;12:17:22
2010;Abril;18,7;23,8;11,1;67,3;75,96;9,5;11;17,8;11:13:02
2010;Mayo;13,8;18,7;6,9;74,7;30,99;9,5;10,3;18;10:18:04
2010;Junio;11,3;15,6;5,6;77;129,28;9;11,6;19,7;09:50:54
2010;Julio;10,1;14,8;3,6;72,5;90,67;8,8;12,3;20,2;10:03:54
2010;Agosto;10,8;14,5;4,9;75,3;25,15;9,5;14,1;22,4;10:50:52
2010;Septiembre;15,7;20,7;7,7;58,2;25,91;9,8;15,1;23,1;11:51:25
2011;Octubre;16,9;21,4;10,2;67,8;62,23;9,5;14,5;22;12:57:52
2011;Noviembre;22,3;26,7;14,7;58,2;71,11;9,9;14,6;22;13:55:42
2011;Diciembre;22,6;26,7;15;60,2;55,63;9,9;17,6;26,8;14:27:59
2011;Enero;26,1;31,7;18,1;55,4;22,61;9,9;16,6;23,4;14:11:51
2011;Febrero;25,1;29,4;18,1;65,9;185,94;9,8;14,1;21,3;13:20:05
2011;Marzo;21,5;25,7;15,1;70,8;74,43;9,7;13,4;19;12:15:42
